GmlId,OBJECTID,DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,SEARCH02_EN,SEARCH02_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,Shape
BDTMSP.1,1,List of target mini-storage premises (MSP) without obvious irregularities,沒有明顯違規的目標迷你倉名單,KWAI HING INDUSTRIAL BUILDING,UNIT C ON 1/F KWAI HING INDUSTRIAL BUILDING NOS. 10-18 CHUN PIN STREET KWAI CHUNG,葵興工業大廈,葵涌圳邊街10-18號葵興工業大廈1字樓C室,NEW TERRITORIES,新界,KWAI TSING,葵青區,4/05/2023,4/05/2023,3211925483T20200924,3211925483T20200924,825482,832119,22.36851205,114.1365902,2025-10-02T15:06:27,POINT (832119.00000000 825482.00000000)
BDTMSP.2,2,List of target mini-storage premises (MSP) without obvious irregularities,沒有明顯違規的目標迷你倉名單,TAK KING INDUSTRIAL BUILDING,12/F WORKSHOP 1 TAK KING INDUSTRIAL BUILDING 27 LEE CHUNG STREET CHAI WAN,德景工業大廈,柴灣利眾街27號德景工業大廈12字樓02室,HONG KONG,港島,EASTERN,東區,28/06/2022,28/06/2022,4234414052T20050430,4234414052T20050430,814057.8,842353.8,22.26527759,114.2358251,2025-10-02T15:06:27,POINT (842353.80000000 814057.80000000)
BDTMSP.3,3,List of target mini-storage premises (MSP) without obvious irregularities,沒有明顯違規的目標迷你倉名單,PRINCE INDUSTRIAL BUILDING,16/F UNIT B PRINCE INDUSTRIAL BUILDING 106 KING FUK STREET SAN PO KONG,太子工業大廈,新蒲崗景福街106號太子工業大廈16字樓B室,KOWLOON,九龍,WONG TAI SIN,黃大仙區,17/05/2022,17/05/2022,3854821708T20050430,3854821708T20050430,821705.2,838548.4,22.33442518,114.1990063,2025-10-02T15:06:27,POINT (838548.40000000 821705.20000000)
BDTMSP.4,4,List of target mini-storage premises (MSP) without obvious irregularities,沒有明顯違規的目標迷你倉名單,HONG KONG INDUSTRIAL BUILDING,18/F UNIT F HONG KONG INDUSTRIAL BUILDING 444-452 DES VOEUX ROAD WEST SAI WAN,香港工業大廈,西環德輔道西444-452號香港工業大廈18字樓F室,HONG KONG,港島,CENTRAL &amp; WESTERN,中西區,23/11/2021,23/11/2021,3179316460T20050430,3179316460T20050430,816453.5,831793,22.28702829,114.1334502,2025-10-02T15:06:27,POINT (831793.00000000 816453.50000000)
BDTMSP.5,5,List of target mini-storage premises (MSP) without obvious irregularities,沒有明顯違規的目標迷你倉名單,WINNER BUILDING,9/F UNIT F WINNER BUILDING 36 MAN YUE STREET HUNG HOM,榮業大廈,紅磡民裕街36號榮業大廈9字樓F室,KOWLOON,九龍,KOWLOON CITY,九龍城區,13/05/2021,13/05/2021,3750818838T20050430,3750818838T20050430,818851.4,837515.3,22.30850845,114.1889088,2025-10-02T15:06:27,POINT (837515.30000000 818851.40000000)
BDTMSP.6,6,List of target mini-storage premises (MSP) without obvious irregularities,沒有明顯違規的目標迷你倉名單,KINWAY FACTORY BUILDING,6/F KINWAY FACTORY BUILDING 136-138 TAI LIN PAI ROAD KWAI CHUNG,建華工業大廈,葵涌大連排道136-138號建華工業大廈6字樓,NEW TERRITORIES,新界,KWAI TSING,葵青區,24/09/2020,24/09/2020,3166624475T20050430,3166624475T20050430,824479.6,831659.3,22.35940812,114.1321948,2025-10-02T15:06:27,POINT (831659.30000000 824479.60000000)
BDTMSP.7,7,List of target mini-storage premises (MSP) without obvious irregularities,沒有明顯違規的目標迷你倉名單,CHEUNG YICK INDUSTRIAL BUILDING,7/F FLAT A CHEUNG YICK INDUSTRIAL BUILDING 12 ON YIP STREET,長益工業大廈,安業街12號長益工業大廈7字樓A,HONG KONG,港島,EASTERN,東區,11/01/2021,11/01/2021,4336614242T20050430,4336614242T20050430,814250.9,843379.2,22.26698951,114.2457416,2025-10-02T15:06:26,POINT (843379.20000000 814250.90000000)
BDTMSP.8,8,List of target mini-storage premises (MSP) without obvious irregularities,沒有明顯違規的目標迷你倉名單,METROPOLITAN INDUSTRIAL AND WAREHOUSE BUILDING,16/F METROPOLITAN INDUSTRIAL AND WAREHOUSE BUILDING NO.2 216-218 TEXACO ROAD TSUEN WAN,京華工業貨倉大廈,荃灣德士古道 216-218 號京華工業貨倉大廈(二期)16字樓,NEW TERRITORIES,新界,TSUEN WAN,荃灣區,9/09/2019,9/09/2019,3002525056T20110323,3002525056T20110323,825056,830025,22.36464968,114.1162605,2025-10-02T15:06:26,POINT (830025.00000000 825056.00000000)
BDTMSP.9,9,List of target mini-storage premises (MSP) without obvious irregularities,沒有明顯違規的目標迷你倉名單,SHING KING INDUSTRIAL BUILDING,UNIT D 14/F SHING KING INDUSTRIAL BUILDING 45 KUT SHING STREET CHAI WAN,勝景工業大廈,柴灣吉勝街45號勝景工業大廈14字樓D室,HONG KONG,港島,EASTERN,東區,20/06/2018,20/06/2018,4224614093T20050430,4224614093T20050430,814092.1,842245.5,22.26564819,114.2348744,2025-10-02T15:06:26,POINT (842245.50000000 814092.10000000)
BDTMSP.10,10,List of target mini-storage premises (MSP) without obvious irregularities,沒有明顯違規的目標迷你倉名單,KWAI SHING INDUSTRIAL BUILDING,4/F UNIT H KWAI SHING INDUSTRIAL BUILDING PHASE 2 42-46 TAI LIN PAI ROAD KWAI CHUNG,貴盛工業大廈,葵涌大連排道42-46號貴盛工業大廈二期4字樓H室,NEW TERRITORIES,新界,KWAI TSING,葵青區,4/06/2018,4/06/2018,3180325006T20050430,3180325006T20050430,825002.2,831802.7,22.3642037,114.1335234,2025-10-02T15:06:26,POINT (831802.70000000 825002.20000000)
